"序號","英雄","槽位","技能名","模板","原設計","目前模板行為","待補機制","編譯","基本模擬","原機制","畫面"
"03","不知火舞","EX","陽炎之舞","tpl-buff-self","短時間產生跟隨施法的火焰殘像；追加傷害有次數上限，殘像不獨立尋敵。","自身取得 3 秒增益：ad +15%。","目前為自身 3 秒 +15% AD；需限次跟隨施法殘像及去重。","passed","accepted","not-verified","not-run"
"04","空條承太郎","PASSIVE","〔白金之星・精密動作〕","tpl-on-attack","近距離命中累積精密層數；滿層後強化下一次 Q 的末擊。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需精密層數與 Q 末擊消耗。","passed","passive","not-verified","not-run"
"04","空條承太郎","Q","歐拉連打","tpl-lock-combo","白金之星在前方進行多段拳擊，每段重新確認距離與目標。","6 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","需逐段距離重新檢查、替身掛點及雙模型動作。","passed","accepted","not-verified","not-run"
"04","空條承太郎","W","流星指刺","tpl-line-sweep","中短距離直線刺擊，用於追擊離開普攻範圍的敵人。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需單條流星指刺與單目標去重。","passed","accepted","not-verified","not-run"
"04","空條承太郎","E","〔替身護衛〕","tpl-buff-self","白金之星進入短暫防禦姿態，減免一次正面攻擊並推開近身敵人。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-04-20260907.e.guard"",""onExisting"":""keepLarger""}]。","需正面一次格擋與推開近敵，不能以一般護盾驗收。","passed","accepted","not-verified","not-run"
"04","空條承太郎","R","白金之星・世界","tpl-single-strike","建立短暫局部時停區域。暫停範圍內敵方單位的動作與指定計時器，以及敵方投射物運動。對決倒數及時停自身的結束計時繼續。承太郎在期間造成的命中記入有限佇列，時停結束後依序結算。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""stun"",""duration"":0.8,""applyTo"":""target"",""stun"":true}]。","此槽僅單體 0.8 秒暈眩作模板預覽；局部時停、投射物暫停、計時器分類及命中佇列尚未提供。","passed","accepted","not-verified","not-run"
"04","空條承太郎","EX","〔歐拉終結拳〕","tpl-single-strike","有起手動作的重拳；時停期間使用時，加入同一套待結算命中佇列。","指定單一敵人造成小級物理傷害。","目前立即结算；需與時停共用待結算佇列。","passed","accepted","not-verified","not-run"
"05","洛克人","PASSIVE","〔武器能源管理〕","tpl-on-attack","特殊武器共用有限能源；能源隨時間恢復，切換武器不補滿。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需共用武器能源、恢復與切換保留；預覽沿用 GGD 魔力。","passed","passive","not-verified","not-run"
"05","洛克人","Q","洛克砲","tpl-line-sweep","按住蓄力、放開射擊；依蓄力階段決定彈體與傷害。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","目前固定起手；需按住／放開與分段蓄力。","passed","accepted","not-verified","not-run"
"05","洛克人","W","Metal Blade","tpl-traveling-wave","投出金屬刀刃，可選擇射擊方向，消耗武器能源。","四段沿直線推進的波，每 0.12 秒向前 100 wc3u；各段獨立區域傷害。","Metal Blade 的方向與刀刃模型待補。","passed","accepted","not-verified","not-run"
"05","洛克人","E","Leaf Shield","tpl-buff-self","形成有限耐久的葉片護盾；再次使用可將剩餘葉片射出。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-05-20260907.e.guard"",""onExisting"":""keepLarger""}]。","缺再次輸入射出剩餘葉片及護盾剩餘量換算。","passed","accepted","not-verified","not-run"
"05","洛克人","R","〔全武裝齊射〕","tpl-random-barrage","按固定次序發射砲彈、刀刃與葉片，整套共享總傷害預算。","在指定區域依序落下 6 發；每發間隔 0.35 秒、半徑 150 wc3u、極小級傷害，可多次命中。","彈種固定時序及整套共享總預算需補。","passed","accepted","not-verified","not-run"
"05","洛克人","EX","〔特殊武器切換〕","tpl-buff-self","讓 Q 在洛克砲與已核准的特殊武器版本間切換；保留各自冷卻與共用能源。","自身取得 3 秒增益：as +20%。","僅自身攻速增益；需 Q 技能版本切換、圖示與共用冷卻。","passed","accepted","not-verified","not-run"
"06","卡比","PASSIVE","〔圓滾滾的韌性〕","tpl-mark-stacks","脫離戰鬥後逐步恢復少量生命；受擊即中斷。","本場一層免死標記，首次致死消耗並回復 15% 生命，保護 0.5 秒。","免死只是驗收底稿；需脫戰漸進回血且受擊中斷。","passed","passive","not-verified","not-run"
"06","卡比","Q","吸入","tpl-pull-throw","錐形牽引；短暫含住一個合法目標或可吸收物件，期間移動受限。","拖拉指定目標後向前投擲 120 wc3u，0.45 秒拋物線，落地半徑 2 GGD 單位小級傷害。","不是錐形吸入與含住；需吞入持有狀態、單目標釋放。","passed","accepted","not-verified","not-run"
"06","卡比","W","吐出","tpl-line-sweep","含住目標時將其安全釋放並射出星彈；空腹時只能使用較弱的普通星彈。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","目前固定星光線；需持有物判斷與安全吐出。","passed","accepted","not-verified","not-run"
"06","卡比","E","石頭","tpl-buff-self","變為石頭，短暫大幅減傷且無法移動；結束後恢復原狀。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":160,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-06-20260907.e.guard"",""onExisting"":""keepLarger""}]。","需石頭形態、禁移動與禁施法，護盾不足以代表變石。","passed","accepted","not-verified","not-run"
"06","卡比","R","超級巨劍","tpl-line-sweep","有預警的大範圍揮砍，提供卡比本體的固定終結能力。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","巨劍造型待補；目前四段直線物理波。","passed","accepted","not-verified","not-run"
"06","卡比","EX","複製能力","tpl-single-strike","從最近成功吸入的英雄取得一個核准的 Q 技能版本，替換自己的 Q，限時或用盡次數後還原。首批白名單：八神庵闇拂、不知火舞花蝶扇、御坂美琴電擊之槍。其他目標明確顯示不可複製。","指定單一敵人造成小級魔法傷害。","固定魔法攻擊供預覽；需三技能白名單、暫存副本、死亡還原。","passed","accepted","not-verified","not-run"
"07","西索","PASSIVE","〔魔術師的節奏〕","tpl-on-attack","以不同技能命中同一目標，強化下一次撲克牌攻擊；最多保存一次。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需不同技能序列及下一次牌擊消耗。","passed","passive","not-verified","not-run"
"07","西索","Q","〔撲克牌連射〕","tpl-random-barrage","扇形投出三張牌，同一目標的額外命中採遞減傷害。","在指定區域依序落下 3 發；每發間隔 0.12 秒、半徑 150 wc3u、極小級傷害，可多次命中。","三發為落點散射；需扇形牌彈與同目標遞減。","passed","accepted","not-verified","not-run"
"07","西索","W","伸縮自在的愛","tpl-single-strike","將念線附著於一個敵人或合法場景錨點；超距、死亡或期限到達時斷線。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""root"",""duration"":0.7,""applyTo"":""target"",""root"":true}]。","只有短暫鎖足；需有端點的彈性連線及斷線規則。","passed","accepted","not-verified","not-run"
"07","西索","E","〔收線〕","tpl-pull-throw","附著敵人時牽引敵人；附著錨點時拉動自己。兩種行為都受碰撞與最大位移限制。","拖拉指定目標後向前投擲 120 wc3u，0.45 秒拋物線，落地半徑 2 GGD 單位小級傷害。","僅敵人抓投；需錨點拉動自己與敵人牽引的分支。","passed","accepted","not-verified","not-run"
"07","西索","R","〔彈性殺陣〕","tpl-ground-nova","短暫建立最多兩條額外念線，結束時向中心牽引一次。","指定落點半徑 300 wc3u 的一次小級範圍傷害。","目前單次區域傷害；需最多兩條额外念線及一次中心牽引。","passed","accepted","not-verified","not-run"
"07","西索","EX","輕薄的假象","tpl-buff-self","在地面製作一個假的陷阱外觀，或改變自身表面外觀。偽裝不改變真實陣營、碰撞與伺服器身分。","自身取得 3 秒增益：極小級移速。","僅短效移速；需假陷阱／表面偽裝及敵我顯示隔離。","passed","accepted","not-verified","not-run"
"08","米卡莎","PASSIVE","〔阿卡曼戰鬥直覺〕","tpl-on-attack","成功避開攻擊後，下一次刀刃命中獲得有限增傷；有觸發間隔。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需有效閃避事件、內置冷卻與下一刀增傷。","passed","passive","not-verified","not-run"
"08","米卡莎","Q","〔雙刃斬擊〕","tpl-lock-combo","近身雙段斬擊，消耗刀刃耐久。","2 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","缺刀刃耐久。","passed","accepted","not-verified","not-run"
"08","米卡莎","W","立體機動裝置","tpl-leap-strike","射出鉤索連接合法錨點，消耗氣體沿路徑移動。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","需合法場景錨點、鉤索路径、氣體消耗；不是自由跳躍。","passed","accepted","not-verified","not-run"
"08","米卡莎","E","〔補給與換刃〕","tpl-buff-self","短暫停留更換刀刃並補充部分氣體；受到控制會中斷。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""restore"",""manaPct"":0.15,""applyTo"":""self""}]。","需換刃及氣體資源／控制中斷。","passed","accepted","not-verified","not-run"
"08","米卡莎","R","雷槍","tpl-random-barrage","發射兩支可辨識的雷槍，命中或落地後延遲爆炸。","在指定區域依序落下 2 發；每發間隔 0.4 秒、半徑 150 wc3u、極小級傷害，可多次命中。","兩發落點爆炸；需雷槍投射物、黏附與延遲引爆。","passed","accepted","not-verified","not-run"
"08","米卡莎","EX","〔立體機動・迴旋斬〕","tpl-charge-push","選定錨點與敵人後，沿限定弧線移動斬擊；路線失效時安全停止。","向指定方向突進 400 wc3u，造成極小級碰撞範圍傷害與推移。","目前直線；需錨點弧線與路徑失效停止。","passed","accepted","not-verified","not-run"
"09","赫蘿","PASSIVE","〔賢狼的眼光〕","tpl-on-attack","參與有效助攻獲得交易籌碼，上限三枚；同一擊殺事件只結算一次。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需助攻一次性籌碼，上限三枚。","passed","passive","not-verified","not-run"
"09","赫蘿","Q","〔狼牙警告〕","tpl-single-strike","短距離狼影撲咬，造成傷害與短暫緩速。","指定單一敵人造成小級物理傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""slow30"",""duration"":1,""applyTo"":""target"",""moveSpeedMult"":0.7}]。","狼影造型待補。","passed","accepted","not-verified","not-run"
"09","赫蘿","W","〔行商議價〕","tpl-buff-self","消耗一枚籌碼，取得少量當局戰鬥金幣；每回合最多三次。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""restore"",""manaPct"":0.1,""applyTo"":""self""}]。","預覽只回復 10% 魔力；需籌碼消耗與每回合三次戰鬥金幣交易。","passed","accepted","not-verified","not-run"
"09","赫蘿","E","〔麥穗庇護〕","tpl-buff-self","為指定友軍提供小額護盾及短效移速。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-09-20260907.e.guard"",""onExisting"":""keepLarger""}]。","目前自身；需指定友軍盾與加速。","passed","accepted","not-verified","not-run"
"09","赫蘿","R","賢狼真身","tpl-buff-self","變為有限體型的大狼，強化普攻與 Q，暫時失去 W 的交易功能。","自身取得 4 秒增益：ad +15%、極小級移速。","目前 4 秒 AD／移速；需狼形態、碰撞調整、Q 替換及 W 禁用。","passed","accepted","not-verified","not-run"
"09","赫蘿","EX","〔豐收的約定〕","tpl-buff-self","消耗剩餘籌碼，按消耗量強化附近友軍的護盾；不另外產生金幣。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":150,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-09-20260907.ex.guard"",""onExisting"":""keepLarger""}]。","目前自身固定盾；需扣除剩餘籌碼並擴展附近友軍。","passed","accepted","not-verified","not-run"
"10","魯路修","PASSIVE","〔戰局推演〕","tpl-on-attack","友軍命中自己的戰術標記時累積指揮層數，同一技能多段命中只計一次。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需友軍命中戰術標記與施法去重指揮層數。","passed","passive","not-verified","not-run"
"10","魯路修","Q","〔戰術射擊〕","tpl-single-strike","中距離單發射擊，對帶標記目標造成額外傷害。","指定單一敵人造成小級物理傷害。","缺戰術標記額外傷害。","passed","accepted","not-verified","not-run"
"10","魯路修","W","〔集中火力〕","tpl-single-strike","標記一個可見敵人，讓下一次友軍有效命中獲得追加效果。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""slow30"",""duration"":1.5,""applyTo"":""target"",""moveSpeedMult"":0.7}]。","固定緩速；需標記與下一次友軍命中消耗。","passed","accepted","not-verified","not-run"
"10","魯路修","E","〔撤退指令〕","tpl-buff-self","為附近友軍提供朝安全方向移動時的短效加速。","自身取得 3 秒增益：極小級移速。","目前只加速自身；需朝安全方向移動的友軍條件。","passed","accepted","not-verified","not-run"
"10","魯路修","R","絕對遵守的 Geass","tpl-single-strike","在視線成立後，命令一名敵人沿合法路徑朝指定位置移動，持續約 1 秒。每名目標每回合只能成功受此命令一次；控制免疫或視線失敗時不記為成功。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""stun"",""duration"":0.8,""applyTo"":""target"",""stun"":true}]。","單體 0.8 秒暈眩不能代替 Geass；需視線、強制合法移動與每目標每回合成功一次。","passed","accepted","not-verified","not-run"
"10","魯路修","EX","〔Checkmate〕","tpl-ground-nova","消耗指揮層數，對已標記區域發動有預警的戰術打擊。","指定落點半徑 300 wc3u 的一次中級範圍傷害。","缺指揮層數消耗。","passed","accepted","not-verified","not-run"
"11","利姆路","PASSIVE","大賢者","tpl-on-hit-react","分析最近承受的技能類型，提供該類型的短效有限減傷；同時只保存一種分析結果。","受傷時觸發有 4 秒冷卻的小範圍反擊；不是防禦成功或閃避成功事件。","需最近受擊類型分析及同時只留一種減傷結果。","passed","passive","not-verified","not-run"
"11","利姆路","Q","水刃","tpl-traveling-wave","直線水刃，可穿過有限數量目標。","四段沿直線推進的波，每 0.12 秒向前 100 wc3u；各段獨立區域傷害。","需穿透人數上限及單彈命中去重。","passed","accepted","not-verified","not-run"
"11","利姆路","W","捕食者","tpl-buff-self","短窗口吸收一個白名單敵方投射物，取消其後續命中並保存分析樣本。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-11-20260907.w.guard"",""onExisting"":""keepLarger""}]。","護盾不會吸收或刪除敵彈；需白名單投射物與樣本持有。","passed","accepted","not-verified","not-run"
"11","利姆路","E","擬態","tpl-buff-self","在人形與史萊姆形態間切換，改變普攻及移動表現，保留生命、資源與冷卻。","自身取得 3 秒增益：極小級移速。","需人形／史萊姆形態、普攻替換與生命冷卻保留。","passed","accepted","not-verified","not-run"
"11","利姆路","R","黑炎","tpl-periodic-field","在指定區域產生有限脈衝的黑炎，結束後清理全部區域效果。","指定落點維持 3 秒的小級半徑傷害區，每秒一跳極小級傷害。","固定 3 秒黑炎可作基本區域驗收；黑炎色覆寫。","passed","accepted","not-verified","not-run"
"11","利姆路","EX","〔解析完成・能力再現〕","tpl-single-strike","消耗 W 的樣本，以自己的屬性施放一次核准的技能副本；使用後清空樣本。","指定單一敵人造成小級魔法傷害。","固定攻擊不是能力副本；需樣本版本、消耗與禁止遞迴。","passed","accepted","not-verified","not-run"
"12","衛宮士郎","PASSIVE","〔武器解析〕","tpl-on-attack","近戰交鋒累積解析層數，降低下一次投影的資源消耗；有最低消耗限制。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需近戰解析層與投影最低資源消耗。","passed","passive","not-verified","not-run"
"12","衛宮士郎","Q","干將・莫邪","tpl-lock-combo","投影雙劍進行近身交叉斬擊。","2 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","雙劍掛點與交叉斬動畫待製。","passed","accepted","not-verified","not-run"
"12","衛宮士郎","W","〔投影・飛劍〕","tpl-random-barrage","將有限數量的投影劍射向指定方向。","在指定區域依序落下 3 發；每發間隔 0.15 秒、半徑 150 wc3u、極小級傷害，可多次命中。","目前定點三發落劍；需按方向投影飛劍。","passed","accepted","not-verified","not-run"
"12","衛宮士郎","E","〔強化・踏步〕","tpl-charge-push","短距離移動並強化下一次近戰命中。","向指定方向突進 250 wc3u，造成極小級碰撞範圍傷害與推移。","缺下一次近戰強化。","passed","accepted","not-verified","not-run"
"12","衛宮士郎","R","無限劍製","tpl-periodic-field","展開有期限的劍域，強化 W 並在固定節奏追加投影劍；領域不改寫地圖邊界。","指定落點維持 3 秒的小級半徑傷害區，每秒一跳極小級傷害。","目前領域傷害；需領域内 W 強化、投影劍生成與退出還原。","passed","accepted","not-verified","not-run"
"12","衛宮士郎","EX","〔投影・迎擊〕","tpl-buff-self","投影武器攔截一次正面攻擊，成功後開啟一次反擊。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-12-20260907.ex.guard"",""onExisting"":""keepLarger""}]。","需一次正面迎擊成功後反擊窗口。","passed","accepted","not-verified","not-run"
"13","朝田詩乃","PASSIVE","〔狙擊專注〕","tpl-on-attack","保持穩定姿勢累積瞄準，移動或受擊降低；效果有上限。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需静止瞄準層與移動受傷衰退。","passed","passive","not-verified","not-run"
"13","朝田詩乃","Q","〔Hecate II・精準射擊〕","tpl-line-sweep","短蓄力直線射擊，依瞄準層數提高傷害。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","固定起手分段線；需蓄力、射線掩體與瞄準層增傷。","passed","accepted","not-verified","not-run"
"13","朝田詩乃","W","〔觀測射界〕","tpl-buff-self","顯示有效射線與遮蔽物，短暫標記一名已可見敵人。","自身取得 3 秒增益：as +20%。","目前攻速增益；需射界 UI、合法可見敵人的觀測標記。","passed","accepted","not-verified","not-run"
"13","朝田詩乃","E","〔戰術翻滾〕","tpl-leap-strike","短距離翻滾，打斷自己的瞄準並重新定位。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","翻滾應為貼地移動且清空瞄準，目前是低弧跳躍。","passed","accepted","not-verified","not-run"
"13","朝田詩乃","R","〔Hecate II・決定性一槍〕","tpl-line-sweep","較長瞄準後射出高傷害子彈，敵人可見射線預警。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需單發高傷害射線、較長瞄準與移動取消。","passed","accepted","not-verified","not-run"
"13","朝田詩乃","EX","〔副武器應急射擊〕","tpl-single-strike","近距離快速射擊，附帶小幅後退；給狙擊手有限自保能力。","指定單一敵人造成小級物理傷害。","缺小幅後退位移。","passed","accepted","not-verified","not-run"
"14","殺老師","PASSIVE","〔教師的觀察〕","tpl-on-hit-react","同一敵人反覆以相同招式攻擊時，短暫提高對該招的有限防禦；不同技能可打破適應。","受傷時觸發有 4 秒冷卻的小範圍反擊；不是防禦成功或閃避成功事件。","需按敵人技能 ID 適應，不是所有受擊反擊。","passed","passive","not-verified","not-run"
"14","殺老師","Q","〔觸手批改〕","tpl-lock-combo","前方多段觸手打擊，整招共享觸發次數上限。","4 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","觸手多掛點與整招觸發上限待補。","passed","accepted","not-verified","not-run"
"14","殺老師","W","〔高速授課〕","tpl-charge-push","沿指定路線快速移動，到達終點時給附近友軍短效加速。","向指定方向突進 450 wc3u，造成極小級碰撞範圍傷害與推移。","缺到達終點後的友軍加速。","passed","accepted","not-verified","not-run"
"14","殺老師","E","〔觸手再生〕","tpl-buff-self","消耗資源分段恢復生命，受控制時停止。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""heal"",""amount"":{""flat"":100,""ratios"":[]},""applyTo"":""self""}]。","目前立即回血；需分段再生與受控中止。","passed","accepted","not-verified","not-run"
"14","殺老師","R","完全防禦形態","tpl-buff-self","進入短暫球體防禦，期間無法移動及施法；結束後有明顯恢復動作。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":180,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-14-20260907.r.guard"",""onExisting"":""keepLarger""}]。","需球體變形、禁移動禁施法與限時防禦；目前只有盾。","passed","accepted","not-verified","not-run"
"14","殺老師","EX","〔分身式教學〕","tpl-random-barrage","以高速殘像演出三處依序打擊，實際由同一本體按時序結算。","在指定區域依序落下 3 發；每發間隔 0.2 秒、半徑 150 wc3u、極小級傷害，可多次命中。","三個落點固定脈衝；需本體依序定位及殘像對齊。","passed","accepted","not-verified","not-run"
"15","比利海靈頓","PASSIVE","〔兄貴的氣勢〕","tpl-on-attack","成功抓取或保護友軍累積氣勢，上限三層。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需抓取成功／有效保護事件的氣勢資源。","passed","passive","not-verified","not-run"
"15","比利海靈頓","Q","〔正面擒抱〕","tpl-single-strike","抓取一名近身敵人，雙方短暫進入配對動作；抓取總時間有上限。","指定單一敵人造成小級物理傷害。","核對 Owner 原文與模擬／畫面後才可驗收。","passed","accepted","not-verified","not-run"
"15","比利海靈頓","W","〔肌肉防線〕","tpl-pull-throw","消耗氣勢提高短期防禦，無氣勢時仍有較弱效果。","拖拉指定目標後向前投擲 200 wc3u，0.45 秒拋物線，落地半徑 2 GGD 單位小級傷害。","雙人摔角動作、抓取免疫與同步挂點須驗收。","passed","accepted","not-verified","not-run"
