id,character,official_voice_actor,version,source_url_1,source_url_2,voice_characteristics,recommended_emotion,notes
godie-h00l,林克,高梨謙吾,薩爾達傳說,https://www.youtube.com/watch?v=-MEo1tGalr0,https://www.nintendo.com/jp/zelda/totk/character/index.html,只收揮劍受傷蓄力和短促吶喊；不要完整對白,只收揮劍受傷蓄力和短促吶喊；不要完整對白,two_source_verified; 任天堂官網確認候選影片為《ティアーズ オブ ザ キングダム》的リンク版本；只採非語言戰鬥聲
godie-h01n,黑崎一護,森田成一,BLEACH,https://www.youtube.com/watch?v=K80l5SDGJZE,https://bleach-anime.com/character/?chara=56,略帶沙啞；適合月牙天衝式長音爆發,略帶沙啞；適合月牙天衝式長音爆發,two_source_verified; BLEACH 動畫官網確認黒崎一護由森田成一演出
godie-h01u,呂布奉先,稲田徹,真三國無雙,https://www.youtube.com/watch?v=Y_UZ1HH03cw,https://www.gamecity.ne.jp/smusou7/window/ryofu.html,厚重胸腔低音；與死之王的陰沉低音分開,厚重胸腔低音；與死之王的陰沉低音分開,two_source_verified; KOEI TECMO 角色頁確認《真・三國無双7》呂布由稲田徹演出
godie-h020,莉娜因巴斯,林原めぐみ,秀逗魔導士,https://www.youtube.com/watch?v=wSwB05WyDGk,https://www.tv-tokyo.co.jp/contents/slayers/next/staff.html,高能量語速快；吐槽與龍破斬詠唱形成反差,高能量語速快；吐槽與龍破斬詠唱形成反差,two_source_verified; テレビ東京《スレイヤーズNEXT》CAST 確認リナ由林原めぐみ演出
godie-h02k,熊貓,無官方聲優,GGD原創,,,懶散低語猥瑣笑突然暴怒與動物怪叫；不可只有可愛,懶散低語猥瑣笑突然暴怒與動物怪叫；不可只有可愛,online_search_completed_without_a_strong_official_audio_candidate; record a new owned voice or continue manual research
godie-h02r,妙蛙花,無固定單一聲線,寶可夢,https://www.youtube.com/watch?v=o8x8QmVyLps,https://www.pokemonunite.jp/tc/pokemon/venusaur/,低頻厚實生物吼聲；音節少且不像人類說話,低頻厚實生物吼聲；音節少且不像人類說話,two_source_verified; Pokémon UNITE 官網確認候選影片的妙蛙花角色版本；不主張單一固定聲優
godie-h02u,草泥馬,無官方聲優,中國網路迷因,,,鼻音乾澀神經質又憂鬱；加入咩叫和荒謬長笑,鼻音乾澀神經質又憂鬱；加入咩叫和荒謬長笑,online_search_completed_without_a_strong_official_audio_candidate; record a new owned voice or continue manual research
godie-hapm,Berserker,西前忠久,Fate/stay night,https://www.youtube.com/watch?v=yvRgz5KEPxQ,https://typemoon.com/products/f-sn/character/09/,巨人型咆哮沉重呼吸與受擊怒吼；不可像初號機野獸化,巨人型咆哮沉重呼吸與受擊怒吼；不可像初號機野獸化,two_source_verified; TYPE-MOON《Fate/stay night REMASTERED》確認バーサーカー由西前忠久演出
godie-hart,克勞德,櫻井孝宏,Final Fantasy VII,https://www.youtube.com/watch?v=VW5M0fm4LfE,https://jp.finalfantasy.com/news/5505,乾燥中低音話少疲倦；避免激烈尖叫,乾燥中低音話少疲倦；避免激烈尖叫,two_source_verified; SQUARE ENIX 官方頁確認クラウド由櫻井孝宏演出
godie-hpal,藤井八雲,辻谷耕史,三隻眼,,,溫和青年且帶受傷痛苦；保留人性和不死感,溫和青年且帶受傷痛苦；保留人性和不死感,online_search_completed_without_a_strong_official_audio_candidate; record a new owned voice or continue manual research
godie-hpb1,蒼月潮,畠中祐,潮與虎,https://www.youtube.com/watch?v=KMe4UYXNOmg,https://www.tkma.co.jp/jpop_profile/ushitora.html,熱血直接帶自然破音；避免過度成熟,熱血直接帶自然破音；避免過度成熟,two_source_verified; 徳間ジャパン動畫資料確認蒼月潮由畠中祐演出
godie-huth,魔人普烏,塩屋浩三,七龍珠,https://www.youtube.com/watch?v=lP18In8dUVo,https://www.toei-anim.co.jp/tv/dragon_s/about/staffcast.html,高鼻音幼稚黏稠；撒嬌笑聲與突然發怒,高鼻音幼稚黏稠；撒嬌笑聲與突然發怒,two_source_verified; 東映動畫 CAST 確認魔人ブウ由塩屋浩三演出
godie-hvsh,Rider,浅川悠,Fate/stay night,https://www.youtube.com/watch?v=ghwoaF-VYS0,https://www.fate-sn.com/sp/staffcast/cast.html,成熟低女聲帶氣音；比桔梗更貼近耳語和性感,成熟低女聲帶氣音；比桔梗更貼近耳語和性感,two_source_verified; Heaven's Feel 官網 CAST 確認ライダー由浅川悠演出
godie-hvwd,桔梗,日髙のり子,犬夜叉,https://www.youtube.com/watch?v=bixMsQ4eMsg,https://www.ytv.co.jp/inuyasha/cast/2000_cast/index.html,清澈冷淡帶距離感和哀傷；避免性感氣音,清澈冷淡帶距離感和哀傷；避免性感氣音,two_source_verified; 讀賣電視《犬夜叉》角色頁確認桔梗由日髙のり子演出
godie-n003,依文潔琳,松岡由貴,魔法老師,https://www.youtube.com/watch?v=hPli1o3hB84,https://king-cr.jp/special/negima_complete-box/,外表幼女但語氣老成；適合嘲諷和傲慢低語,外表幼女但語氣老成；適合嘲諷和傲慢低語,two_source_verified; KING RECORDS 官方 BOX 頁確認Evangeline由松岡由貴演出
godie-n00b,哆拉A夢,水田わさび,哆啦A夢,https://www.youtube.com/watch?v=m9iperdA28E,https://doraeiga.com/2025/,圓潤鼻音急促吐槽且情緒起伏大,圓潤鼻音急促吐槽且情緒起伏大,two_source_verified; 2025 電影官網確認ドラえもん由水田わさび演出
godie-n00p,南野秀一,緒方恵美,幽遊白書,https://www.youtube.com/watch?v=S1TDOuq4jMA,https://pierrot.jp/archive/movie_b2000/mov_13.html,柔和但危險；妖狐型態可降低音高增加冷酷感,柔和但危險；妖狐型態可降低音高增加冷酷感,two_source_verified; ぴえろ官方作品頁確認蔵馬由緒方恵美演出
godie-n01c,勇者小呆,種﨑敦美,達伊大冒險,https://www.youtube.com/watch?v=Kr84m3-xjMc,https://www.tv-tokyo.co.jp/anime/dai/staff/,明亮純真正義；必殺技時高張力,明亮純真正義；必殺技時高張力,two_source_verified; テレビ東京 CAST 確認2020版ダイ由種﨑敦美演出
godie-nplh,麻倉葉,佐藤ゆうこ,通靈童子,https://www.youtube.com/watch?v=dGVohrzDabI,https://shamanking-project.com/shamanking/cast,放鬆慵懶像什麼都不在乎；戰鬥時仍不傳統熱血,放鬆慵懶像什麼都不在乎；戰鬥時仍不傳統熱血,two_source_verified; 2021 動畫官網確認候選影片中的麻倉葉由日笠陽子演出；與指定2001版佐藤ゆうこ不同
godie-o00k,皮卡娘,無官方聲優,SATO×PICA同人,,,高音少女斗S笑聲；避免與夏娜的釘宮系傲嬌過近,高音少女斗S笑聲；避免與夏娜的釘宮系傲嬌過近,online_search_completed_without_a_strong_official_audio_candidate; record a new owned voice or continue manual research
godie-o00l,傑洛士,石田彰,秀逗魔導士,https://www.youtube.com/watch?v=uThahdXvoX8,https://www.tv-tokyo.co.jp/contents/slayers/next/staff.html,溫柔禮貌句尾輕盈；適合愉快威脅,溫柔禮貌句尾輕盈；適合愉快威脅,two_source_verified; テレビ東京《スレイヤーズNEXT》CAST 確認ゼロス由石田彰演出
godie-o00x,悟空,野沢雅子,七龍珠,https://www.youtube.com/watch?v=vyIg-bPlmAw,https://www.toei-anim.co.jp/tv/dragon_s/about/staffcast.html,明亮帶鄉土感；戰鬥時音高和能量大幅上升,明亮帶鄉土感；戰鬥時音高和能量大幅上升,two_source_verified; 東映動畫 CAST 確認孫悟空由野沢雅子演出
godie-o02p,初音,藤田咲音源提供,Vocaloid,https://www.youtube.com/watch?v=wIMhsHlTLso,https://sonicwire.com/product/C7313,明亮電子感音高穩定；優先用自有合成音而非動畫擷取,明亮電子感音高穩定；優先用自有合成音而非動畫擷取,two_source_verified; SONICWIRE 官方提供39日初音ミクNT體驗版；應自行合法合成新乾聲而非擷取示範影片
godie-ofar,皮卡丘,大谷育江,寶可夢,https://www.youtube.com/watch?v=E7U0IZifgY8,https://www.tv-tokyo.co.jp/anime/pocketmonster/staff/,高音短促；需要開心警戒受傷放電等音高變化,高音短促；需要開心警戒受傷放電等音高變化,two_source_verified; テレビ東京 CAST 確認動畫版ピカチュウ由大谷育江演出
godie-ogld,黑人牙膏,無官方聲優,GGD原創,,,前半自信專業後半逐步黑化；不可直接模仿特定真人,前半自信專業後半逐步黑化；不可直接模仿特定真人,online_search_completed_without_a_strong_official_audio_candidate; record a new owned voice or continue manual research
godie-orkn,臭作,版本資料不一,臭作,,,油膩氣音笑聲故作親切；避免過度卡通化,油膩氣音笑聲故作親切；避免過度卡通化,online_search_completed_without_a_strong_official_audio_candidate; record a new owned voice or continue manual research
godie-osam,殺生丸,成田剣,犬夜叉,https://www.youtube.com/watch?v=oMuI0EJtlgQ,https://www.ytv.co.jp/inuyasha/cast/2000_cast/index.html,低音平直極少情緒；一句短台詞比長吼有效,低音平直極少情緒；一句短台詞比長吼有效,two_source_verified; 讀賣電視《犬夜叉》角色頁確認殺生丸由成田剣演出
godie-u00h,鬼畜狂刀KYO,小西克幸,SAMURAI DEEPER KYO,,,粗獷青年低音好戰狂笑；比一護更慢更邪氣,粗獷青年低音好戰狂笑；比一護更慢更邪氣,online_search_completed_without_a_strong_official_audio_candidate; record a new owned voice or continue manual research
godie-u00j,賽菲洛斯,森川智之,Final Fantasy VII,https://www.youtube.com/watch?v=VW5M0fm4LfE,https://jp.finalfantasy.com/news/5505,深沉共鳴優雅慢速；避免普通戰鬥怒吼,深沉共鳴優雅慢速；避免普通戰鬥怒吼,two_source_verified; SQUARE ENIX 官方頁確認セフィロス由森川智之演出
godie-u00k,死之王,無官方聲優,GGD原創,,,超低音緩慢宣告；可加多層殘響但保留乾聲版本,超低音緩慢宣告；可加多層殘響但保留乾聲版本,online_search_completed_without_a_strong_official_audio_candidate; record a new owned voice or continue manual research
godie-u00l,拳四郎,神谷明,北斗神拳,https://www.youtube.com/watch?v=L8uEDF8qtlk,https://www.gamecity.ne.jp/shokuto/characters.html,高張力攻擊連續短吼；需要冷語和爆發落差,高張力攻擊連續短吼；需要冷語和爆發落差,two_source_verified; KOEI TECMO 官網確認候選影片的《真・北斗無双》ケンシロウ由小西克幸演出；與指定電視動畫神谷明版不同
godie-u00n,蒙其.D.魯夫,田中真弓,航海王,https://www.youtube.com/watch?v=s9mKeplf0fg,https://oppw4-20.bn-ent.net/character/luffy/,率直鼻音巨大笑聲；不可做成普通可愛童聲,率直鼻音巨大笑聲；不可做成普通可愛童聲,two_source_verified; Bandai Namco 官方角色頁確認候選為《ONE PIECE 海賊無双4》的ルフィ
godie-u00v,基廉列克,無正常對白,監獄兔,https://www.youtube.com/watch?v=kGI-Ealzs84,https://hps.mtvjapan.com/mediacms/pdfs/mtvj_press-release_20121114_xvc9.pdf,低沉哼聲鼻息怒氣爆發與撞擊聲；不要完整句子,低沉哼聲鼻息怒氣爆發與撞擊聲；不要完整句子,two_source_verified; MTV Networks Japan 資料確認USAVICH為其授權內容；角色為非語言音效方向
godie-u010,飛影,檜山修之,幽遊白書,https://www.youtube.com/watch?v=Ud7cIeWhnDA,https://pierrot.jp/archive/movie_b2000/mov_13.html,高位置男聲短促；黑龍波時才放大成爆發吶喊,高位置男聲短促；黑龍波時才放大成爆發吶喊,two_source_verified; ぴえろ官方作品頁確認飛影由檜山修之演出
godie-u01u,索隆,中井和哉,航海王,https://www.youtube.com/watch?v=s28m2t_IfJY,https://oppw4-20.bn-ent.net/character/zoro/,低沉慵懶不耐煩；與必殺技吶喊形成對比,低沉慵懶不耐煩；與必殺技吶喊形成對比,two_source_verified; Bandai Namco 官方角色頁確認候選為《ONE PIECE 海賊無双4》的ゾロ
godie-ubal,巴恩大魔王,土師孝也,達伊大冒險,https://www.youtube.com/watch?v=zuwMfn7RVJg,https://www.tv-tokyo.co.jp/anime/dai/staff/,蒼老沉穩極度自信；避免與黑人牙膏撞成子安系反派,蒼老沉穩極度自信；避免與黑人牙膏撞成子安系反派,two_source_verified; テレビ東京 CAST 確認2020版バーン由土師孝也演出
godie-udea,飛鼠先生,無官方聲優,GGD原創,,,平常疲倦開發者吐槽；放技能時突然過度中二和作弊者化,平常疲倦開發者吐槽；放技能時突然過度中二和作弊者化,online_search_completed_without_a_strong_official_audio_candidate; record a new owned voice or continue manual research
