id,character,official_voice_actor,version,source_url_1,source_url_2,voice_characteristics,recommended_emotion,license_status,license_evidence_url,notes
godie-u00h,鬼畜狂刀KYO,小西克幸,TVアニメ版(2002)、鬼眼の狂/壬生京四郎の二役,https://anime.eiga.com/program/100753/,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=27440,荒々しく野性的な低音、好戦的で不敵な笑いを含む男臭さ,好戦的な高揚(戦闘挑発),not_permitted,,TV版主角確認済み(狂と京四郎兼役)。緑川光はミゲイラ役
godie-u00j,賽菲洛斯,森川智之,FFVII AC(2005)以降〜FFVIIリメイク/リバース,https://www.jp.square-enix.com/ffvii_remake/character/sephiroth.html,https://ja.wikipedia.org/wiki/%E3%82%BB%E3%83%95%E3%82%A3%E3%83%AD%E3%82%B9,深く滑らかな低音、穏やかな囁きに底知れぬ狂気と余裕,静かな狂気・冷笑,not_permitted,,スクエニ公式キャラページでCV表記確認、本人X投稿でも裏付け
godie-u00k,死之王,無官方聲優,GGD原創,,,自由設計(建議:低沉迴響的王者亡靈聲),莊嚴的宣告,unknown,,no official VA; skip verification
godie-u00l,拳四郎,神谷明,TVアニメ『北斗の拳』(1984-1987),https://animatetimes.com/tag/details.php?id=2483,https://www.allcinema.net/cinema/89310,芯の太い熱血な中低音、怒号の爆発力と静かな悲哀の落差,怒りの雄叫び(あたたた系),not_permitted,,タイトルコールも神谷明が兼任。新作アニメでは別キャストの時期あり
godie-u00n,蒙其.D.魯夫,田中真弓,TVアニメ(1999-)〜THE ONE PIECE続投,https://one-piece.com/news/80222/index.html,https://www.oricon.co.jp/news/2463552/full/,ハスキーで元気な少年声、天真爛漫で突き抜ける叫び,陽気な大笑い・闘志の叫び,not_permitted,,公式ONE PIECE.comニュースでTHE ONE PIECEもルフィ役続投確認、青二プロダクション所属
godie-u00v,基廉列克,森村新人(S1-3)→上野大典(S4以降),ウサビッチ シーズン1-3/4以降,https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%B5%E3%83%93%E3%83%83%E3%83%81,https://frequ.jp/5374,台詞なし、低い唸り声と「ん?」程度の効果音的発声のみ,無言の怒気(唸り声),not_permitted,,正常對白無しは確認済みだが声のクレジット自体は存在(Wikipediaに「声 - 森村新人→上野大典」明記)。公式カスト頁は未発見
godie-u010,飛影,檜山修之,TVアニメ『幽☆遊☆白書』(1992-1995),https://www.artsvision.co.jp/talent/14315/,https://ja.wikipedia.org/wiki/%E9%A3%9B%E5%BD%B1_(%E5%B9%BD%E2%98%86%E9%81%8A%E2%98%86%E7%99%BD%E6%9B%B8),鋭く尖った中低音、皮肉で好戦的、叫びは灼熱の爆発力,見下す冷笑→激昂の叫び,not_permitted,,所属事務所アーツビジョン公式プロフィールに飛影記載
godie-u01u,索隆,中井和哉,TVアニメ(1999-)/FILM RED等,https://www.onepiece-film.jp/wordpress/wp-content/themes/onepiece-film-red/common/character/chara04.html,https://ja.wikipedia.org/wiki/%E4%B8%AD%E4%BA%95%E5%92%8C%E5%93%89,ざらついたドスの効いた低音、豪胆で張りのある啖呵,戦闘の気迫・咆哮,not_permitted,,FILM RED公式キャラページに「CV：中井和哉」明記、青二プロダクション所属
godie-ubal,巴恩大魔王,土師孝也,TVアニメ『ドラゴンクエスト ダイの大冒険』2020年版(老バーン),https://www.dragonquest.jp/news/detail/3306/,https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%BC%E3%83%B3_(%E3%83%80%E3%82%A4%E3%81%AE%E5%A4%A7%E5%86%92%E9%99%BA),老獪で威厳ある低音、朗々とした帝王の演説口調,威厳ある宣告・高笑い,not_permitted,,ドラクエ公式サイトのキャスト発表で確認。真の姿(若バーン)以降は子安武人
godie-udea,飛鼠先生,無官方聲優,GGD原創,,,自由設計(建議:輕快狡黠的高音商人聲),狡黠的招呼,unknown,,no official VA; skip verification
godie-hblm,慈悲的王者－賈修貝爾,大谷育江,フジテレビ系TVアニメ『金色のガッシュベル!!』第1話〜第140話（2003-2006）,https://www.toei-anim.co.jp/tv/GB/060113_news/index.html,https://www.animatetimes.com/tag/details.php?id=1800,高音で舌足らずな元気少年ボイス（ピカチュウ/チョッパーと同一声優）。無邪気な明るさから号泣・絶叫まで振れ幅が大きく、感情の爆発力が特徴,明るく元気な高テンションの叫び（決意・友情を叫ぶシーン想定、5-15秒）,not_permitted,,2006年1月に大谷が体調不良で休養（東映公式2006/1/13付）、第141話〜最終150話は吉田小南美が代役。2019年のゲーム以降は大谷復帰
godie-efur,揍敵客大家長－揍敵客桀諾,大竹宏,日本テレビ系『HUNTER×HUNTER』2011年版（マッドハウス制作）,https://ja.wikipedia.org/wiki/%E3%82%BE%E3%83%AB%E3%83%87%E3%82%A3%E3%83%83%E3%82%AF%E5%AE%B6,https://www.mau2.com/anime/hunterhunter-r2,枯れて軽妙なしわがれ老人声。飄々とした好々爺トーンと暗殺者の鋭い殺気を瞬時に切り替えるのが持ち味,余裕と凄みを含んだ静かな挑発（戦闘前の飄々とした老獪な語り、5-15秒）,not_permitted,,1999年フジテレビ版（OVA含む）は宮澤正、2011年日本テレビ版は大竹宏。大竹宏は2022年逝去のため新規収録不可、そっくりさん必須
godie-zombiex,聖杯黑泥醬－喪標麥可,無官方聲優,GGD原創,,,自由設計（台語腔痞子喪屍；AudioGen 交付採台灣版兩津勘吉型國台語參考音）,怠惰の詭笑→台語まくし立て,unknown,,no official VA; skip verification。實際參考音來源見 provenance/audiogen-2026-07-25/
