id,character,default_instruct_ja,attack_instruct_ja,ultimate_instruct_ja,hurt_instruct_ja,death_instruct_ja
godie-etyr,木乃香,柔らかく温かい若い女性の声。関西弁風のゆったりした抑揚で包み込む癒やし系。高い悲鳴や叫びは使わない。通常時の話し方。特定の実在人物の声を模倣しない。,柔らかく温かい若い女性の声。関西弁風のゆったりした抑揚で包み込む癒やし系。高い悲鳴や叫びは使わない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,柔らかく温かい若い女性の声。関西弁風のゆったりした抑揚で包み込む癒やし系。高い悲鳴や叫びは使わない。大技でも叫ばない。祈るように声を強め、温かさを保ったまま張りを増す。特定の実在人物の声を模倣しない。,柔らかく温かい若い女性の声。関西弁風のゆったりした抑揚で包み込む癒やし系。高い悲鳴や叫びは使わない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,柔らかく温かい若い女性の声。関西弁風のゆったりした抑揚で包み込む癒やし系。高い悲鳴や叫びは使わない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-h00l,林克,台詞のない若い剣士。軽やかな中高音の短い掛け声「はっ」「せいっ」、被弾の呻き、溜めからの裂帛の気合いのみ。完全な文は話さない。静かな呼吸と小さな気合いのみ。台詞はない。特定の実在人物の声を模倣しない。,台詞のない若い剣士。軽やかな中高音の短い掛け声「はっ」「せいっ」、被弾の呻き、溜めからの裂帛の気合いのみ。完全な文は話さない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,台詞のない若い剣士。軽やかな中高音の短い掛け声「はっ」「せいっ」、被弾の呻き、溜めからの裂帛の気合いのみ。完全な文は話さない。溜めの唸りから一気に解放する最大の裂帛の叫び。言葉はない。特定の実在人物の声を模倣しない。,台詞のない若い剣士。軽やかな中高音の短い掛け声「はっ」「せいっ」、被弾の呻き、溜めからの裂帛の気合いのみ。完全な文は話さない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,台詞のない若い剣士。軽やかな中高音の短い掛け声「はっ」「せいっ」、被弾の呻き、溜めからの裂帛の気合いのみ。完全な文は話さない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-h01n,黑崎一護,ざらつきのある熱血な青年の声。少し掠れたハスキーで、怒鳴りに伸びがあり長い雄叫びで爆発する。通常時の話し方。特定の実在人物の声を模倣しない。,ざらつきのある熱血な青年の声。少し掠れたハスキーで、怒鳴りに伸びがあり長い雄叫びで爆発する。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,ざらつきのある熱血な青年の声。少し掠れたハスキーで、怒鳴りに伸びがあり長い雄叫びで爆発する。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,ざらつきのある熱血な青年の声。少し掠れたハスキーで、怒鳴りに伸びがあり長い雄叫びで爆発する。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,ざらつきのある熱血な青年の声。少し掠れたハスキーで、怒鳴りに伸びがあり長い雄叫びで爆発する。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-h01u,呂布奉先,胸に響く超重量級の低音の猛将。地鳴りのような威圧感で傲然と言い放ち、笑いも咆哮も分厚い。通常時の話し方。特定の実在人物の声を模倣しない。,胸に響く超重量級の低音の猛将。地鳴りのような威圧感で傲然と言い放ち、笑いも咆哮も分厚い。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,胸に響く超重量級の低音の猛将。地鳴りのような威圧感で傲然と言い放ち、笑いも咆哮も分厚い。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,胸に響く超重量級の低音の猛将。地鳴りのような威圧感で傲然と言い放ち、笑いも咆哮も分厚い。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,胸に響く超重量級の低音の猛将。地鳴りのような威圧感で傲然と言い放ち、笑いも咆哮も分厚い。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-h020,莉娜因巴斯,明るく張りのある少女のハイトーン。早口でまくし立てる高エネルギーのコメディ調と、芝居がかった壮大な詠唱の反差。通常時の話し方。特定の実在人物の声を模倣しない。,明るく張りのある少女のハイトーン。早口でまくし立てる高エネルギーのコメディ調と、芝居がかった壮大な詠唱の反差。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,明るく張りのある少女のハイトーン。早口でまくし立てる高エネルギーのコメディ調と、芝居がかった壮大な詠唱の反差。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,明るく張りのある少女のハイトーン。早口でまくし立てる高エネルギーのコメディ調と、芝居がかった壮大な詠唱の反差。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,明るく張りのある少女のハイトーン。早口でまくし立てる高エネルギーのコメディ調と、芝居がかった壮大な詠唱の反差。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-h02k,熊貓,低めで気だるく、いたずらっぽい子供っぽい声。とぼけた調子から突然の金切り声や激怒、動物じみた奇声まで振れる。可愛いだけにしない。通常時の話し方。特定の実在人物の声を模倣しない。,低めで気だるく、いたずらっぽい子供っぽい声。とぼけた調子から突然の金切り声や激怒、動物じみた奇声まで振れる。可愛いだけにしない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,低めで気だるく、いたずらっぽい子供っぽい声。とぼけた調子から突然の金切り声や激怒、動物じみた奇声まで振れる。可愛いだけにしない。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,低めで気だるく、いたずらっぽい子供っぽい声。とぼけた調子から突然の金切り声や激怒、動物じみた奇声まで振れる。可愛いだけにしない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,低めで気だるく、いたずらっぽい子供っぽい声。とぼけた調子から突然の金切り声や激怒、動物じみた奇声まで振れる。可愛いだけにしない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-h02r,妙蛙花,人語ではない。低く太い生物の唸りと腹に響く咆哮。音節は少なく、名を唸るように鳴くのみ。低い鼻息と満足げな唸り。言葉はない。特定の実在人物の声を模倣しない。,人語ではない。低く太い生物の唸りと腹に響く咆哮。音節は少なく、名を唸るように鳴くのみ。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,人語ではない。低く太い生物の唸りと腹に響く咆哮。音節は少なく、名を唸るように鳴くのみ。腹の底から響かせる最大の咆哮。地響きのような持続音。特定の実在人物の声を模倣しない。,人語ではない。低く太い生物の唸りと腹に響く咆哮。音節は少なく、名を唸るように鳴くのみ。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,人語ではない。低く太い生物の唸りと腹に響く咆哮。音節は少なく、名を唸るように鳴くのみ。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-h02u,草泥馬,乾いた鼻声で神経質かつ物憂げな声。メェェという鳴き声と不条理に長い笑いが混ざる。通常時の話し方。特定の実在人物の声を模倣しない。,乾いた鼻声で神経質かつ物憂げな声。メェェという鳴き声と不条理に長い笑いが混ざる。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,乾いた鼻声で神経質かつ物憂げな声。メェェという鳴き声と不条理に長い笑いが混ざる。限界まで引き伸ばした荒謬な長鳴きと哄笑。半分鳴き声、半分笑い。特定の実在人物の声を模倣しない。,乾いた鼻声で神経質かつ物憂げな声。メェェという鳴き声と不条理に長い笑いが混ざる。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,乾いた鼻声で神経質かつ物憂げな声。メェェという鳴き声と不条理に長い笑いが混ざる。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-hapm,Berserker,巨躯の狂戦士。地鳴りのような咆哮、重く粗い呼吸、被弾の怒号のみで言葉はほぼ無い。初號機のような機械的野獣化はしない、あくまで巨人の肉声。重い呼吸と低い唸り。抑えきれない闘気。特定の実在人物の声を模倣しない。,巨躯の狂戦士。地鳴りのような咆哮、重く粗い呼吸、被弾の怒号のみで言葉はほぼ無い。初號機のような機械的野獣化はしない、あくまで巨人の肉声。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,巨躯の狂戦士。地鳴りのような咆哮、重く粗い呼吸、被弾の怒号のみで言葉はほぼ無い。初號機のような機械的野獣化はしない、あくまで巨人の肉声。全身全霊の長い雄叫び。岩をも砕く肉声の轟音。特定の実在人物の声を模倣しない。,巨躯の狂戦士。地鳴りのような咆哮、重く粗い呼吸、被弾の怒号のみで言葉はほぼ無い。初號機のような機械的野獣化はしない、あくまで巨人の肉声。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,巨躯の狂戦士。地鳴りのような咆哮、重く粗い呼吸、被弾の怒号のみで言葉はほぼ無い。初號機のような機械的野獣化はしない、あくまで巨人の肉声。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-hart,克勞德,乾いた中低音の青年の声。口数が少なく疲れた平坦さで、感情を押し殺している。激しい尖叫はしない。通常時の話し方。特定の実在人物の声を模倣しない。,乾いた中低音の青年の声。口数が少なく疲れた平坦さで、感情を押し殺している。激しい尖叫はしない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,乾いた中低音の青年の声。口数が少なく疲れた平坦さで、感情を押し殺している。激しい尖叫はしない。大技でも叫ばず、低く押し殺した気合いと鋭い呼気で決める。特定の実在人物の声を模倣しない。,乾いた中低音の青年の声。口数が少なく疲れた平坦さで、感情を押し殺している。激しい尖叫はしない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,乾いた中低音の青年の声。口数が少なく疲れた平坦さで、感情を押し殺している。激しい尖叫はしない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-hpal,藤井八雲,温和で誠実な青年の声。穏やかさの中に芯の強さがあり、痛みと人間味がにじむ。不死身ゆえの悲痛を含む。通常時の話し方。特定の実在人物の声を模倣しない。,温和で誠実な青年の声。穏やかさの中に芯の強さがあり、痛みと人間味がにじむ。不死身ゆえの悲痛を含む。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,温和で誠実な青年の声。穏やかさの中に芯の強さがあり、痛みと人間味がにじむ。不死身ゆえの悲痛を含む。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,温和で誠実な青年の声。穏やかさの中に芯の強さがあり、痛みと人間味がにじむ。不死身ゆえの悲痛を含む。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,温和で誠実な青年の声。穏やかさの中に芯の強さがあり、痛みと人間味がにじむ。不死身ゆえの悲痛を含む。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-hpb1,蒼月潮,荒削りでガラッとした元気な少年の声。まっすぐ熱く、勢いで自然に声が裏返る。大人びさせない。通常時の話し方。特定の実在人物の声を模倣しない。,荒削りでガラッとした元気な少年の声。まっすぐ熱く、勢いで自然に声が裏返る。大人びさせない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,荒削りでガラッとした元気な少年の声。まっすぐ熱く、勢いで自然に声が裏返る。大人びさせない。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,荒削りでガラッとした元気な少年の声。まっすぐ熱く、勢いで自然に声が裏返る。大人びさせない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,荒削りでガラッとした元気な少年の声。まっすぐ熱く、勢いで自然に声が裏返る。大人びさせない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-huth,魔人普烏,高く幼い鼻声の男の声。粘つく甘えた笑いと、無邪気なままの突然の怒りが同居する童稚で危険な声。通常時の話し方。特定の実在人物の声を模倣しない。,高く幼い鼻声の男の声。粘つく甘えた笑いと、無邪気なままの突然の怒りが同居する童稚で危険な声。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,高く幼い鼻声の男の声。粘つく甘えた笑いと、無邪気なままの突然の怒りが同居する童稚で危険な声。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,高く幼い鼻声の男の声。粘つく甘えた笑いと、無邪気なままの突然の怒りが同居する童稚で危険な声。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,高く幼い鼻声の男の声。粘つく甘えた笑いと、無邪気なままの突然の怒りが同居する童稚で危険な声。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-hvsh,Rider,成熟した低い女性の声。息を多く含んだ囁くような話し方で、静かな色気と冷たさ、危うさをまとう。通常時の話し方。特定の実在人物の声を模倣しない。,成熟した低い女性の声。息を多く含んだ囁くような話し方で、静かな色気と冷たさ、危うさをまとう。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,成熟した低い女性の声。息を多く含んだ囁くような話し方で、静かな色気と冷たさ、危うさをまとう。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,成熟した低い女性の声。息を多く含んだ囁くような話し方で、静かな色気と冷たさ、危うさをまとう。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,成熟した低い女性の声。息を多く含んだ囁くような話し方で、静かな色気と冷たさ、危うさをまとう。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-hvwd,桔梗,澄んで冷たい女性の声。感情を抑えた距離感と哀しみをたたえる。息の色気は使わない。通常時の話し方。特定の実在人物の声を模倣しない。,澄んで冷たい女性の声。感情を抑えた距離感と哀しみをたたえる。息の色気は使わない。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,澄んで冷たい女性の声。感情を抑えた距離感と哀しみをたたえる。息の色気は使わない。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,澄んで冷たい女性の声。感情を抑えた距離感と哀しみをたたえる。息の色気は使わない。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,澄んで冷たい女性の声。感情を抑えた距離感と哀しみをたたえる。息の色気は使わない。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-n003,依文潔琳,幼い少女の声色に、老成した傲慢な古風の言い回しを乗せる。嘲るような笑いと見下す囁き。通常時の話し方。特定の実在人物の声を模倣しない。,幼い少女の声色に、老成した傲慢な古風の言い回しを乗せる。嘲るような笑いと見下す囁き。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,幼い少女の声色に、老成した傲慢な古風の言い回しを乗せる。嘲るような笑いと見下す囁き。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,幼い少女の声色に、老成した傲慢な古風の言い回しを乗せる。嘲るような笑いと見下す囁き。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,幼い少女の声色に、老成した傲慢な古風の言い回しを乗せる。嘲るような笑いと見下す囁き。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-n00b,哆拉A夢,丸く鼻にかかった明るいカートゥーンの声。早口のツッコミと大きな感情の起伏、慌てると跳ねる。通常時の話し方。特定の実在人物の声を模倣しない。,丸く鼻にかかった明るいカートゥーンの声。早口のツッコミと大きな感情の起伏、慌てると跳ねる。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,丸く鼻にかかった明るいカートゥーンの声。早口のツッコミと大きな感情の起伏、慌てると跳ねる。必殺技の解放。感情・音量・音高が最大まで高まり、声を張る。特定の実在人物の声を模倣しない。,丸く鼻にかかった明るいカートゥーンの声。早口のツッコミと大きな感情の起伏、慌てると跳ねる。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,丸く鼻にかかった明るいカートゥーンの声。早口のツッコミと大きな感情の起伏、慌てると跳ねる。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
godie-n00p,南野秀一,柔らかく上品な中性的な声。丁寧な物腰の奥に危険な冷たさがあり、戦闘では声の温度が下がる。通常時の話し方。特定の実在人物の声を模倣しない。,柔らかく上品な中性的な声。丁寧な物腰の奥に危険な冷たさがあり、戦闘では声の温度が下がる。攻撃の瞬間の短い掛け声。息が強く乗り、鋭く切れる。特定の実在人物の声を模倣しない。,柔らかく上品な中性的な声。丁寧な物腰の奥に危険な冷たさがあり、戦闘では声の温度が下がる。妖狐の本性。音高を下げ、冷酷さを増した低い声で静かに宣告する。特定の実在人物の声を模倣しない。,柔らかく上品な中性的な声。丁寧な物腰の奥に危険な冷たさがあり、戦闘では声の温度が下がる。被弾の苦痛。短い呻きで、息が詰まる。特定の実在人物の声を模倣しない。,柔らかく上品な中性的な声。丁寧な物腰の奥に危険な冷たさがあり、戦闘では声の温度が下がる。力尽きる最後の声。震えて弱まり、途切れる。特定の実在人物の声を模倣しない。
