狀態,階級,id,卡名,權重,出現回合,觸發時機,效果,翻盤力,引擎機制,tags,設計意圖／審查意見,修改需求
保留,silver,arcane-focus,奧術專注,95,1-3,常駐（無觸發）,法術強度 +40，冷卻縮減 +8%。,—（純屬性）,純 modifiers,"ap,offense",,
保留,silver,vital-surge,生命湧動,95,1-3,常駐（無觸發）,最大生命 +12%，每秒生命回復 +25。,—（純屬性）,純 modifiers,"sustain,defense",,
保留,silver,hunters-instinct,獵手直覺,90,1-3,常駐（無觸發）,暴擊率 +20%，攻擊力 +10%。,—（純屬性）,純 modifiers,"crit,offense",,
新增提案,gold,hourglass,時之沙漏,50,4-6,每 12 秒,隨機一個技能的冷卻立刻歸零。,中,onInterval + modifyCooldown(mode:reset),"utility,offense",LoL 競技場的經典型；把「技能很久才好」的英雄整個救起來,
新增提案,gold,unyielding,不屈,45,4-6,被暈眩時,立刻淨化所有減益並獲得 1.5 秒無敵（30 秒冷卻）。,高,onStunned + dispel + invulnerable,"defense,anti-cc",被連控致死是目前最沒得救的死法；這張卡直接給一個答案,
新增提案,gold,unfinished-will,不甘,45,4-6,死亡時,全隊友獲得 15 秒的 +25% 攻擊力與 +25% 法術強度。,中,onDeath + applyBuff(target:allies),"team,offense",3v3 缺團隊卡 —— 目前 31 張沒有任何一張影響隊友,
新增提案,gold,returner,歸來者,45,4-6,被隊友復活時,獲得 6 秒無敵與 +40% 移動速度。,中,onRevive + invulnerable + applyBuff,"clutch,defense",復活圈目前的問題是「站起來又秒死」，這張卡讓救人這件事真的有價值,
新增提案,gold,inherited-will,遺志,45,4-6,隊友陣亡時,繼承他 30% 的攻擊力與法術強度，直到回合結束。,高,onAllyDeath + applyBuff(permanent),"team,scaling",隊友死得越多你越強 —— 唯一一張「殘局專用」的卡,
新增提案,gold,counter-read,見切,45,4-6,迴避成功時,立刻對攻擊者反擊一次普通攻擊傷害，並 +10% 迴避（可疊 5 層）。,中,onEvade + damage(applyTo:target) + applyBuff(stack),"offense,defense",把迴避從被動機率變成一條可以主動堆的路線,
新增提案,gold,shield-rhythm,盾之律動,45,4-6,獲得護盾時,+25% 攻擊速度，持續 4 秒。,中,onShieldGained + applyBuff,"offense,defense",與 guardian-ward / aegis-surge 連動 —— 第一組「卡片會互相加成」的組合,
新增提案,gold,shatter-backlash,碎盾反噬,45,4-6,護盾破碎時,對周圍敵人造成 350 魔法傷害並擊退。,中,onShieldBroken + damageArea + knockback,"defense,burst",護盾被打破本來是純虧損，這張卡讓對手「打破你的盾」要付代價,
新增提案,gold,baptism-of-flame,烈焰洗禮,45,4-6,火圈點燃時,回復 30% 最大生命，並 +25% 移動速度直到回合結束。,中,onFireRingIgnite + restore + applyBuff,"clutch,sustain",火圈是每一場 60 秒必到的時刻；把它變成一個「換場」節點,
新增提案,gold,tower-slayer,弒塔者,45,4-6,守衛塔倒下時,全隊回復 40% 最大生命。,中,onGuardianDown + restore(allies),"team,objective",守衛塔目前的問題是「拿它划不來」（分析寫在 docs/guardian-tower.md），這張卡直接改變那個算式,
新增提案,gold,king-hunt-prep,屠王準備,45,4-6,殭屍王出現時,全隊 +30% 攻擊力與 +30% 護甲，持續到回合結束。,中,onBossSpawn + applyBuff(allies),"team,pve",殭屍王目前只是個障礙；這張卡讓它變成一個「誰先準備好」的時刻,
新增提案,gold,chain-execution,連鎖處決,45,4-6,擊殺敵人時,所有技能冷卻減少 40%。,中,onKill + modifyCooldown(reduce),"snowball,offense",與 conqueror 組成完整的滾雪球路線,
建議下架,gold,chill-touch,Chill Touch,60,4-6,onAbilityHit,Your Q also slows enemies by 25% for 1.5s.,中,onAbilityHit,utility,英文卡名；而且它是計畫點名的反例 —— 「你的 Q 也會減速」在 113 支匯入英雄上沒有意義（每個人的 Q 是原作者放什麼就是什麼）。frost-shatter 是同一張卡的正確版,
保留,gold,frost-shatter,霜寒爆裂,60,4-6,onAbilityHit,技能命中使敵人減速 40%，持續 2 秒。,中,onAbilityHit,"utility,cc",,
保留（重複）,gold,arcane-haste,奧術急速,55,4-6,onAbilityCast,施放技能後，攻擊速度與移動速度 +15%，持續 2.5 秒。,中,onAbilityCast,"utility,tempo",與 momentum-core 同型（施法後加速），階級縮放,
保留,gold,berserkers-fury,狂戰之怒,55,4-6,常駐（無觸發）,攻擊速度 +35%，攻擊力 +15%。,—（純屬性）,純 modifiers,"attack-speed,offense",,
保留（重複）,gold,bone-splitter,碎骨,55,4-6,onBasicAttack,每次普攻額外造成 25(+10% 攻擊力) 真實傷害。,中,onBasicAttack,"on-hit,offense",與 bloodlet-ward 同型（普攻追加真傷），階級縮放,
保留（重複）,gold,spell-blade,咒刃,55,4-6,onAbilityHit,技能命中時，額外造成 30(+25% 法術強度 +15% 攻擊力) 法術傷害（每秒最多觸發一次）。,中,onAbilityHit,"on-hit,offense",與 arcane-overload 是同一張卡的白金版，這是刻意的階級縮放，可留,
保留,gold,guardian-ward,守護結界,50,4-6,onDamageTaken,受到傷害時，獲得相當於 6% 最大生命的護盾，持續 3 秒（4 秒冷卻）。,中,onDamageTaken,defense,,
保留,gold,soul-reaver,噬魂,45,4-6,onKill,擊殺敵人時，回復 15% 最大生命。,中,onKill,sustain,,
新增提案,prismatic,perpetual-core,永動核心,24,7+,每 6 秒,永久 +3% 攻擊速度與 +2% 法術強度，可疊 20 層（回合結束重置）。,高,"onInterval + applyBuff(permanent, stackKey)","scaling,offense",打得越久越強 —— 給落後方一個「撐住就會贏」的路線，這是目前完全沒有的軸,
新增提案,prismatic,second-hand,秒針,22,7+,每 20 秒,下一次技能必定暴擊，且該次傷害 ×2。,中,onInterval + critStrike 授權格,"burst,offense",把暴擊從「聚合屬性」變成「這一發」—— 用的正是 GH#299 開的授權格,
新增提案,prismatic,raging-riposte,怒濤反擊,22,7+,被暈眩時,對周圍敵人造成 250 (+60% 攻擊力) 魔法傷害並擊退，自身 +50% 攻擊力持續 6 秒。,高,onStunned + damageArea + knockback + applyBuff,"defense,burst",把「被控」從純虧損變成一次交換 —— 敵人要考慮該不該控你,
新增提案,prismatic,phoenix-vow,浴火重生,20,7+,死亡時,原地復活並回復 40% 生命，每回合限一次。,極高,onDeath + revive,"clutch,defense",對應 LoL 競技場的 Cheating Death。⚠️ 與復活圈的互動要一起裁決,
新增提案,prismatic,samsara,輪迴,20,7+,被隊友復活時,回滿生命與魔力，所有技能冷卻歸零。,高,onRevive + restore + modifyCooldown(mode:reset),"clutch,utility",把一次成功的救援變成一次完整的翻盤機會,
新增提案,prismatic,martyrs-blessing,殉道者的祝福,20,7+,隊友陣亡時,立刻回滿生命並獲得 3 秒無敵。,極高,onAllyDeath + restore + invulnerable,"clutch,defense",團滅常常是骨牌式的；這張卡讓第二個人不會跟著倒,
新增提案,prismatic,mushin,無我,20,7+,迴避成功時,迴避 +15%，且下一次攻擊必定暴擊、傷害 ×3。,高,onEvade + critStrike 授權格,"offense,defense",迴避路線的頂點卡 —— 讓 phantom-step 那一支有終點,
新增提案,prismatic,aegis-echo,聖盾迴響,20,7+,獲得護盾時,護盾量 +60%，並對周圍敵人造成等同護盾量 50% 的魔法傷害。,高,onShieldGained + damageArea,"defense,burst",護盾流的頂點；把防禦數值換成傷害是本作沒有過的軸,
新增提案,prismatic,reforged,破而後立,20,7+,護盾破碎時,立刻獲得一個 2 倍大的新護盾（15 秒冷卻）。,高,onShieldBroken + shield,"defense,clutch",極高續航；與 aegis-echo 疊起來是一條完整的坦克路線,
新增提案,prismatic,poison-for-poison,以毒攻毒,20,7+,每次被掛上狀態,永久 +2% 護甲與 +2% 魔法抗性，可疊 20 層（回合結束重置）。,中,"onStatusApplied + applyBuff(permanent, stackKey)","scaling,defense",越被針對越硬 —— 另一條「撐住就會贏」的軸,
新增提案,prismatic,flame-born,浴火者,20,7+,火圈點燃後,免疫火圈傷害，且每秒對周圍敵人造成 80 真實傷害。,極高,onFireRingIgnite + applyBuff + delayed(damageArea),"clutch,zone",殘局王牌 —— 你可以站在火裡等對手燒死。⚠️ 需要裁決會不會拖長回合,
新增提案,prismatic,usurper,奪權,20,7+,守衛塔倒下時,+30% 全屬性直到回合結束。,高,onGuardianDown + attributes 授權格,"objective,scaling",讓「搶塔」變成一個真的戰略決策，而不是有空才做的事,
新增提案,prismatic,kings-hunter,王的獵人,20,7+,殭屍王出現時,所有技能冷卻歸零，並獲得 15 秒的 +100% 攻擊速度。,高,onBossSpawn + modifyCooldown(reset) + applyBuff,"pve,burst",肉鴿線的頂點卡 —— 直接搶下殭屍王的擊殺獎勵,
新增提案,prismatic,mana-siphon,汲魔,20,7+,造成傷害時,回復等同 8% 傷害量的魔力。,中,onDamageDealt + restore,"sustain,ap",法師目前打完就沒魔了；這是唯一一張真正解決魔力的卡,
新增提案,prismatic,mirror-realm,鏡界,16,7+,反彈成功時,反彈量翻倍，並回復等同反彈量的生命。,中,onReflectSuccess + eventValueConversion + heal,"niche,defense",⚠️ 窄卡：只有身上已經有反彈來源才有用。權重建議壓低，或改成自帶 10% 反彈,
建議改名,prismatic,aegis-surge,Aegis Surge,30,7+,onAbilityCast,"On ability cast, gain a shield for 8% max HP (3s cooldown).",中,onAbilityCast,defense,英文卡名 —— 建議改「聖盾湧動」,
保留,prismatic,second-wind,二度風息,30,7+,onDamageTaken,受到傷害時，回復 6% 最大生命與 6% 最大魔力（8 秒冷卻）。,中,onDamageTaken,"sustain,defense",,
保留,prismatic,immortal-bulwark,不朽壁壘,28,7+,常駐（無觸發）,最大生命 +30%，護甲 +40，魔法抗性 +40。,—（純屬性）,純 modifiers,defense,,
保留,prismatic,momentum-core,動能核心,28,7+,onAbilityCast,施放技能後獲得 6 秒的 +25% 攻擊速度與 +15% 移動速度（4 秒冷卻）。,中,onAbilityCast,"mobility,offense",,
保留,prismatic,bloodlet-ward,放血結界,26,7+,onBasicAttack,普攻命中時追加 40 (+15% 攻擊力) 真實傷害（1 秒冷卻）。,中,onBasicAttack,"ad,offense",,
保留,prismatic,last-stand,背水一戰,26,7+,onKill,擊殺敵人時，獲得 10 秒的 +30 護甲與 +30 魔法抗性。,中,onKill,defense,,
保留,prismatic,void-hunger,虛空飢渴,26,7+,常駐（無觸發）,法術強度 +35%，冷卻縮減 +15%，最大魔力 +25%。,—（純屬性）,純 modifiers,"ap,offense",,
保留,prismatic,arcane-overload,奧能超載,25,7+,onAbilityHit,技能命中時，額外造成 60(+50% 法術強度) 法術傷害（每秒最多觸發一次）。,中,onAbilityHit,"on-hit,offense",,
保留,prismatic,overdrive-engine,超載引擎,25,7+,常駐（無觸發）,冷卻縮減 +20%，攻擊速度 +50%，移動速度 +15%。,—（純屬性）,純 modifiers,"haste,offense",,
保留,prismatic,phantom-step,幻影步,24,7+,常駐（無觸發）,迴避 +25%，移動速度 +20%，攻擊速度 +25%。,—（純屬性）,純 modifiers,"mobility,defense",,
保留,prismatic,storm-arrow,風暴之矢,24,7+,onBasicAttack,普攻時朝面向射出一道穿透風刃，對沿途每個敵人造成 40(+30% 法術強度) 法術傷害（0.5 秒冷卻）。,中,onBasicAttack,"on-hit,aoe,offense",,
保留,prismatic,titan-heart,泰坦之心,24,7+,常駐（無觸發）,最大生命 +40%，生命回復 +15/秒，但移動速度 −8%。,—（純屬性）,純 modifiers,"defense,sustain",,
保留,prismatic,blood-tyrant,血之暴君,22,7+,常駐（無觸發）,攻擊力 +30%，吸血 +25%，暴擊率 +15%。,—（純屬性）,純 modifiers,"ad,sustain,offense",,
保留,prismatic,conqueror,征服者,22,7+,onKill,擊殺敵人後 8 秒內，攻擊力與法術強度 +35%、攻擊速度 +25%。,中,onKill,"snowball,offense",,
保留,prismatic,executioner-edge,處決者之刃,22,7+,常駐（無觸發）,暴擊率 +30%，暴擊傷害 +50%。,—（純屬性）,純 modifiers,"ad,offense,crit",,
保留,prismatic,limit-breaker,破限超頻,22,7+,常駐（無觸發）,攻擊速度 ×2，並將攻擊速度上限由 4.0 解鎖至 10.0。,—（純屬性）,純 modifiers,"attack-speed,offense,cap-unlock",,
保留,prismatic,siege-breaker,攻城槌,22,7+,常駐（無觸發）,攻擊力 +45%，攻擊距離 +2，但攻擊速度 −15%。,—（純屬性）,純 modifiers,"ad,offense",,
