編號,稱號,全名,職業,攻擊類型,名言,描述
godie-h01u,亂世癿王者,呂布奉先,fighter,melee,我が名は呂布、天下無双！（吾乃呂布，天下無雙！）,"故事：呂布（公元151年—公元198年），字奉先，五原（今內蒙古包頭市）人。三國時代的著名武將。呂布因其驍勇善戰，但又勢利多變。在民間對他評價為「人中呂布，馬中赤兔」。
(出自:東漢世紀末傳說)

推薦玩家 : PK破塔
上手度 : 易

角色成長：
力量 + 2.80
敏捷 + 1.40
智慧 + 1.70
基礎跑速 305

可學習的技能：
天下無雙、弒鬼神、鬼神烈戟、赤兔咆哮"
godie-h020,黑魔導士,莉娜因巴斯,marksman,ranged,ドラグ・スレイブ！（龍破斬！）,"故事：
自稱天才美少女魔導士的莉娜，加入愛與和平純粹只是為了可以獲得賞金，正如同她的綽號""盜賊殺手""一樣，惡徒是沒有人權的。
(出自:秀逗魔導士)

推薦玩家 : 團戰殺手
上手度 : 難

角色成長：
力量 + 1.60
敏捷 + 1.70
智慧 + 3.00
基礎跑速 290

可學習的技能：
火球術、炸彈陣、龍破斬、神滅斬、重破斬(需要惡夢魔王碎片)"
godie-h021,破銅爛鐵,阿強一號,marksman,ranged,アーチャン一号、起動！ポンコツって言うな！（阿強一號，啟動！別叫我破銅爛鐵啦！）,"故事：
。
(出自:)

推薦玩家 :  團戰殺人
上手度 : 中

角色成長：
力量 + 2.40
敏捷 + 1.40
智慧 + 2.30
基礎跑速 305

可學習的技能：
薩喀爾、薩喀爾嘎、及喀爾度、巴歐薩喀爾嘎"
godie-h022,白色之翼,涅吉。史普林。菲爾德,fighter,melee,ラス・テル・マ・スキル・マギステル！（咒文起動！）,"故事：
在魔法世界裡經父親以前的夥伴拉坎的協助，學會了依文潔琳百年前用的禁忌之術──「黑暗魔法」，戰鬥方式也隨之改變。
(出自:魔法老師)

推薦玩家 : 游擊牽制
上手度 : 難

角色成長：
力量 + 1.90
敏捷 + 1.90
智慧 + 2.00
基礎跑速 310

可學習的技能：
雷之斧、虛空瞬動、雷之投擲、闇之魔法"
godie-h02k,國寶級的畜生,熊貓,fighter,melee,笹をよこせ…でなきゃ、噛むぞ（把竹子交出來…不然咬你）,"故事：
來自四川的熊貓，經歷過四川的地震以後，流落到馬戲團賣藝，雖然自稱賣藝不賣身，但是為了生活還是常常到228公園去，而支持他苟延殘喘活下來的動力，就是希望在有生之年能拍一張彩色的照片。
(出自:去死團原創)

推薦玩家 : 人品爆發
上手度 : 殘

角色成長：
力量 + 1~4
敏捷 + 1~2
智慧 + 0~1
基礎跑速 305

可學習的技能：
憤怒的門牙、憤怒的菊花、憤怒的胸毛、憤怒的簡諧運動"
godie-h02n,腦包英雄,打我阿笨蛋,fighter,melee,さあ殴れ！痛くも痒くもないぜ、バカめ！（來打我啊！一點也不痛不癢，笨蛋！）,
godie-h02r,種子神奇寶貝,妙蛙花,fighter,melee,フシギバナ！（妙蛙花！叫聲(非說話生物)）,
godie-h02s,,死亡騎士,fighter,melee,死は終わりにあらず…我が始まりなり。（死亡並非終結…而是我的開始。）,"故事：
詳情請參考巫妖電視王-30秒說完巫妖王歷史。
(出自:WarCraft)

推薦玩家 : 逼戰殺人
上手度 : 中

角色成長：
力量 + 2.70
敏捷 + 1.50
智慧 + 1.80
基礎跑速 315

可學習的技能：
死亡之握、疫病、碎心打擊、血魄暴噬"
godie-h02u,看似憂鬱的神獸,草泥馬,fighter,melee,この草原は、俺のものだ…メェッ！（這片草原是我的…咩！）,"故事：
草泥馬是中國網民惡搞的十大神獸之一，被《紐約時報》等媒體認為是中國網民對於中國大陸網路審查制度的調侃。但具體的起源尚不明確。包括草泥馬在內的十大神獸最初發佈於百度百科，之後迅速躥紅，在聊天室、論壇中廣為流傳。關於「草泥馬」的視頻、卡通和商品也成為世界範圍關注的對象。
(出自:中國大陸)

角色成長：
力量 + 1.50
敏捷 + 2.50
智慧 + 2.00
基礎跑速 320

技能：
憂鬱的眼神、臥槽泥馬、狂槽泥馬、消化液、固有結界-馬勒戈壁"
godie-h02v,看似憂鬱的神獸,草泥馬,fighter,melee,この草原は、俺のものだ…メェッ！（這片草原是我的…咩！）,"故事：
草泥馬是中國網民惡搞的十大神獸之一，被《紐約時報》等媒體認為是中國網民對於中國大陸網路審查制度的調侃。但具體的起源尚不明確。包括草泥馬在內的十大神獸最初發佈於百度百科，之後迅速躥紅，在聊天室、論壇中廣為流傳。關於「草泥馬」的視頻、卡通和商品也成為世界範圍關注的對象。
(出自:中國大陸)

角色成長：
力量 + 1.50
敏捷 + 2.50
智慧 + 2.00
基礎跑速 320

技能：
臥槽泥馬、狂槽泥馬、消化液、固有結界-馬勒戈壁"
godie-h02y,幕末復仇狂者,志志雄真實,fighter,melee,所詮、この世は弱肉強食。強ければ生き、弱ければ死ぬ。（說到底，這世上就是弱肉強食。強者生，弱者死。）,"故事：
「強者生存，弱者滅亡」為其信念，認為去死團在對岸列強環伺下需要強權領導，現任作者太軟弱了，應該由他取而代之，帶領死團成為KUSO界的霸主。
(出自:神劍闖江湖)

推薦玩家 : 逼戰
上手度 : 易

角色成長：
力量 + 2.50
敏捷 + 1.70
智慧 + 1.80
基礎跑速 305

可學習的技能：
壹之秘劍-焰靈、貳之秘劍-紅蓮腕、弱肉強食、終極秘劍-火產靈神"
godie-h02z,,不良少年,fighter,melee,あぁ？ガンつけてんじゃねえぞ、コラ！（啊？瞪三小啦你，喂！）,"故事：
詳情請參考巫妖電視王-30秒說完巫妖王歷史。
(出自:WarCraft)

推薦玩家 : 逼戰殺人
上手度 : 中

角色成長：
力量 + 2.70
敏捷 + 1.50
智慧 + 1.80
基礎跑速 315

可學習的技能：
死亡之握、疫病、碎心打擊、血魄暴噬"
godie-hapm,海克力斯,Berserker,fighter,melee,グオオオオッ！（咆哮！(狂化不能言語)）,"故事：
Berserker是希臘神話中著名的英雄海格力斯(Hercules) ，血統為半神半人，力大無窮，曾在聖杯戰爭中被召喚為SENVENT與嬌小的Master依利亞並肩作戰。
(第一屆去死團大賽獎勵角色 出自:Fate/stay night)

推薦玩家 : 衝鋒殺人
上手度 : 中

角色成長：
力量 + 2.80
敏捷 + 1.40
智慧 + 1.70
基礎跑速 300

可學習的技能：
狂戰士之怒、蹂躪編年史、無銘斧劍、巨神一擊"
godie-harf,豪洨天王,鄭先生,fighter,melee,全部本当だぜ？信じないお前が悪いんだよ！（全都是真的啦？不相信是你的錯耶！）,"故事：
PTT傳說中的愛洨會最高層幹部之一，喜愛吞噬某樣液體成名。之所以會加入去死團，據說是愛洨會高層討論的命令。
(出自:台大PTT)

推薦玩家 : PK坦克
上手度 : 中

角色成長：
力量 + 2.75
敏捷 + 1.55
智慧 + 1.80
基礎跑速 305

可學習的技能：
腳底按摩、亂入、熱血、洨者聖臨"
godie-hart,最終幻想,克勞德,fighter,melee,興味ないね（沒興趣）,"故事：
Cloud的名字暗示著他神祕，不清楚的過去以及他那不可預知的將來，為了過去奮戰們的朋友，使得他不得不重新提起沉重的大刀迎敵。
(出自:太空戰士7)

推薦玩家 : 追擊殺手
上手度 : 中

角色成長：
力量 + 2.50
敏捷 + 1.80
智慧 + 1.90
基礎跑速 310

可學習的技能：
凶斬、隕石擊、畫龍點睛、超究武神霸斬"
godie-hblm,慈悲的王者,賈修貝爾,marksman,ranged,ザケル！オレは優しい王様になるんだ！（撒克魯！我要成為溫柔慈悲的王！）,"故事：
與手持魔法紅書唸出咒語的清人並肩作戰，和同樣被送到人間，競爭角逐魔界之王的寶座，為了得到保護心愛的朋友們加入了愛與和平。
(出自:魔法少年賈修)

推薦玩家 :  團戰殺人
上手度 : 中

角色成長：
力量 + 2.40
敏捷 + 1.40
智慧 + 2.30
基礎跑速 305

可學習的技能：
薩喀爾、薩喀爾嘎、及喀爾度、巴歐薩喀爾嘎"
godie-hgam,種子神奇寶貝,妙蛙種子,fighter,melee,フシギダネ！（妙蛙種子！（寶可夢只會喊自己的名字））,"故事：
一出生背上就負著不可思議的種子。背上的種子裡面，擁有大量的營養 ，種子會跟著身體一起長大。
(出自:神奇寶貝)

推薦玩家 : 牽制會戰
上手度 : 中

角色成長：
力量 + 1.50
敏捷 + 2.00
智慧 + 2.30
基礎跑速 300

可學習的技能：
飛葉快刀、麻痺粉、藤鞭、陽光烈焰"
godie-hjai,黑魔導士,莉娜因巴斯,marksman,ranged,ドラグ・スレイブ！（龍破斬！）,"故事：
自稱天才美少女魔導士的莉娜，加入愛與和平純粹只是為了可以獲得賞金，正如同她的綽號""盜賊殺手""一樣，惡徒是沒有人權的。
(出自:秀逗魔導士)

推薦玩家 : 團戰殺手
上手度 : 難

角色成長：
力量 + 1.60
敏捷 + 1.70
智慧 + 3.00
基礎跑速 290

可學習的技能：
火球術、炸彈陣、龍破斬、神滅斬、重破斬"
godie-hlgr,鋼彈,煌,fighter,melee,撃たせない！（我不會讓你開火（傷害任何人）！）,"故事：
煌 大和是操縱鋼彈的駕駛員，為了執行宇宙和平的使命，於是開著拼裝的工程用鋼彈加入愛與和平。
(出自:鋼彈Seed)

推薦玩家 : 攻城巨砲
上手度 : 易

角色成長：
力量 + 2.70
敏捷 + 1.50
智慧 + 1.90
基礎跑速 300

可學習的技能：
詭雷、磁軌砲、鯨式電漿光束炮、全彈發射"
godie-hpal,不死之身-無,藤井八雲,fighter,melee,俺は…死なない（我不會死(不死之身)）,"故事：
身為三隻眼的僕人，擁有不死之身的藤井八雲，雖然可以招喚威力強大的魔獸，卻要付出自身血肉作為代價。
(出自:三隻眼)

推薦玩家 : 破塔殺人
上手度 : 易

角色成長：
力量 + 2.50
敏捷 + 1.80
智慧 + 1.80
基礎跑速 305

可學習的技能：
土爪、石絲、鏡蠱、光牙"
godie-hpb1,獸矛傳承使,蒼月潮,fighter,melee,とらァッ！（虎！呼喚搭檔）,"故事：
無意間破除光霸明宗所設的密室結界， 並意外成為獸矛這一世的傳承者。充滿熱血正義感的蒼月潮為了阻止去死團的破壞拿起獸矛奮戰了。
(出自:魔力小馬、潮與虎)

推薦玩家 : 追擊殺手
上手度 : 中

角色成長：
力量 + 2.10
敏捷 + 2.00
智慧 + 1.70
基礎跑速 310

可學習的技能：
臨兵鬥、者皆陣、列在前、神聖結界"
godie-huth,超級普烏,魔人普烏,fighter,melee,お菓子にしてやる！（把你變成糖果！）,"故事：
看似貪玩可愛，骨子裡卻充滿邪惡的魔人普烏。擁有強大的分身再生能力，摧毀敵人也只不過是他的娛樂。
(出自:七龍珠)

推薦玩家 : 破塔堵人
上手度 : 易

角色成長：
力量 + 2.50
敏捷 + 1.85
智慧 + 1.75
基礎跑速 300

可學習的技能：
吃掉你、把你變成餅乾、分身、破滅能量彈"
godie-hvsh,梅杜莎,Rider,fighter,melee,騎英の手綱（ベルレフォーン）！（騎英之手綱！）,"故事：
高爾根為蛇髮女怪，她們是海神Phorcys和ceto所生的三女妖：大姐司提娜(Stheno)是代表力量，二姐尤里艾蕾(Euryale)是代表自由(飛翔)，三妹梅杜莎(Medusa)是代表悲哀(女王)。她們三姊妹當中只有梅杜沙是人類的身軀。
(出自:Fate/stay night)

推薦玩家 : 團戰牽制
上手度 : 中

角色成長：
力量 + 1.70
敏捷 + 2.75
智慧 + 1.75
基礎跑速 300

可學習的技能：
魔法鎖鍊、心眼、鮮血神殿、騎英之韁繩"
godie-hvwd,除魔巫女,桔梗,marksman,ranged,一緒に地獄へ、犬夜叉（一起下地獄吧，犬夜叉）,"故事：
原本是四魂之玉的守護巫女，為了守護世界的和平，只好再度轉生修練來對抗去死團的怨念。
(出自:犬夜叉)

推薦玩家 : 牽制輔助
上手度 : 易

角色成長：
力量 + 1.80
敏捷 + 2.40
智慧 + 1.80
基礎跑速 295

可學習的技能：
破魔之箭、明鏡止水、魂飛魄散、百鬼夜行"
